标题,摘要,关键词,资金来源,DOI,原文刊载于,原文链接
[论文]李昕蕾 刘小娜：欧盟清洁能源供应链重塑的地缘化转向,近年来，欧盟加速对其清洁能源供应链进行重塑，从效率优先转为安全优先，在“政府之手”干预下，其供应链的政治化与地缘化转向日益明显。其背后动因来自欧盟在全球清洁能源供应链中的相对劣势地位与安全压力，国际格局变迁对欧盟安全威胁认知的强化，以及全球零碳竞赛对清洁能源供应链地缘政治效应的放大。在地缘政治逻辑驱动下，欧盟清洁能源供应链的重塑路径主要体现为：推动供应链本土化发展，打造战略自主的绿色工业体系；通过单一市场体量优势推动绿色单边立法，凸显自身在绿色供应链标准规则塑造中的主导力；不断拓展清洁能源供应链中的盟友体系和战略伙伴关系。鉴于欧盟在全球气候能源治理中的重要地位，其供应链重塑战略将对全球能源地缘格局变迁产生不可小觑的影响：不仅加速了全球清洁能源供应链的本土化和保守化发展，加剧了供应链重塑中的安全化与阵营化趋势，还导致清洁能源供应链的技术竞争和资源争夺更为激烈，其中，发展中国家清洁能源产业所面临的绿色标准和规范制约不断强化。,清洁能源供应链;欧盟;能源转型;关键矿产;地缘博弈;,2021年度国家社科一般项目“中国积极参与全球清洁能源治理体系变革的战略研究”（项目编号：21BGJ047）；?2021年度山东大学人文社科重大研究项目“绿色‘一带一路’推动全球气候能源治理转型研究”（项目编号：21RWZD17）的阶段性成果；,10.13549/j.cnki.cn11-3959/d.2023.05.004,"国际论坛. 2023(05)
",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kyWlu-jfbBIkJKvSkT6PIfyxsEaLLbJ772trA9qSGb07Y8gHkcHsdZ&uniplatform=NZKPT
[论文]张乐 李森林：信息通信技术普及中的民生风险感知转变,"信息通信技术的普及应用产生了复杂的社会影响。基于中国家庭追踪调查数据,从多个维度构建民生风险感知指标,采用多元回归、固定效应模型以及工具变量法探究了公众的互联网使用行为与民生风险感知的关联性。研究结果表明:第一,信息通信技术的普及对公众民生风险感知的转变产生了深刻影响,互联网使用行为显著增强了个体的民生风险感知水平。第二,互联网对民生风险感知的强化效应在不同群体间存在程度上的差异,其强化效应在中高收入和中老年群体以及城镇地区更加明显。第三,在环境保护、医疗、教育和贫富差距等领域的民生风险感知转变过程中,互联网发挥的强化效应更为突出。",信息通信技术;民生风险感知;互联网使用;风险放大;,国家社会科学基金重点项目(20ASH009)；?山东大学人文社科重大项目(21RWZD18)； 山东大学政管学院研究生科研基金资助；,10.16192/j.cnki.1003-2053.20220315.001,科学学研究. 2023(02),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UEnQTTKaDrvC9A3tb7oZizZp31F4nhE4HTix4unEQczw&uniplatform=NZKPT
[论文]钟诚：重新找回“政治”：当代“政治鲁迅”研究的知识背景、路径及面临的挑战,“政治鲁迅”研究有新旧之分。不同于旧“政治鲁迅”研究的“启蒙”与“革命”话语，当代的“政治鲁迅”研究致力于在1980年代以来鲁学界建立的“主体性”传统基础上继续寻求研究主题和方法层面的突破。以人文学与社会科学的关系作为认识论基础来观察当代“政治鲁迅”研究，有助于研究者自觉认知自身思想学术探索的知识背景。目前“政治鲁迅”研究并没有形成统一的方法论，介入这一领域的学者分别从文化政治、文学政治以及政治文化、微观规则等路径来展开具体的研究。不同路径之间的学术交锋可以促成研究范式的整合与深化，但迄今，直接的学术辩论尚不多见。当代“政治鲁迅”研究进一步发展面临的挑战主要有：一、人文学界的“政治”理解如何与社会科学界的政治概念有效对话；二、如何避免陷入纯粹的“学院化”陷阱，进而保持鲁迅研究与现实对话的能力；三、如何跳出既有话语框架，重新思考文学与政治的关系。为应对挑战，当代“政治鲁迅”研究可以从相对较成熟的“东亚鲁迅”思想传统中汲取灵感。,政治;“政治鲁迅”;社会科学;微观规则;“东亚鲁迅”;,国家社会科学基金重点专项资助项目（项目编号：21VGQ026）的阶段性成果；,10.16287/j.cnki.cn11-2589/i.2023.08.005,中国现代文学研究丛刊. 2023(08),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJutOehf2D0XouCH-lhM6pGz-mNYc7Dpf8Pdl_Pr72UQ_OEf8Io6AD7h0z8tRGzTr7t&uniplatform=NZKPT
[论文]陈仁兴：积极福利视角下残疾人共同富裕的实现路径,"中国式现代化的本质要求是实现全体人民共同富裕的现代化，能否实现残疾人在物质和精神层面的共同富裕成为衡量中国式现代化的重要指标。由于可行能力较弱、社会支持体系不健全以及社会基础相对薄弱等因素，残疾人返贫风险较高，共同富裕面临诸多挑战。积极福利的政策构想为探讨残疾人共同富裕议题提供了理论进路。一方面，在国家层面进行自上而下的积极干预和社会建设，推动社会救助转向社会投资战略，构建以残疾人家庭为核心的社会支持体系，创新发展残疾人社区康复工作，促进基本公共服务可及性与均等化。另一方面，在个体与社会层面进行自下而上的共同体建设，增强残疾人群体的可行能力，激发残疾人社会组织活力，充分发挥慈善公益力量，建设残疾人友好型社会。
",残疾人;共同富裕;积极福利;社会建设;,国家社会科学基金重大项目“中国残疾人家庭与社会支持机制建构及案例库建设”(17ZDA116)；?教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”(21JZD014)；,,中州学刊. 2023(09),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50k-ilRrCm3zu4SwJr8VKWkgl5W4vBlFzaBJDJDPTRdAqD4Ojf3AEG8N&uniplatform=NZKPT
[论文]杨志 曹现强：地方政策再创新的策略类型及生成机理——基于从“河长制”到“X长制”演化过程的追踪分析,“河长制”在实现跨治理主体“空间扩散”的同时，亦实现了跨治理场景的“理念外溢”，催生出湾长制、林长制及多长合一等“X 长制”样态。研究发现，“X长制”生成过程可由以“目标+工具”为内核的“政策再创新”概念进行表达，其本质是政策源创新的核心理念作为有效治理工具，在多维治理场景中持续外溢并达成特定治理目标的过程。根据场景目标的复杂性和工具选择的多样性，可将其划分为单域移植、原域优化、跨域组合及全域整合四类样态。作为一种政策再生产的主动性建构策略，政策再创新遵循“目标建构-工具选择-场景创设”的一般过程路径，其异质性政策内容演化结果受“争先”与“求异”双重逻辑驱动。概言之，政策再创新的多重衍生路径勾绘出地方政策再生产的繁荣图景，但其中潜藏的创新内卷及治理负荷过载等现象亦值得警惕。,地方政府；政策再创新；政策再生产；理念外溢；政策扩散,国家社科基金青年项目“爆发式政策扩散潜在风险识别与防范化解机制研究”（22CGL069）；山东省社科规划青年项目（22DZZJ02）；山东省自科基金青年项目（ZR2023QG158）,10.19735/j.issn.1006-0863.2023.07.12,"中国行政管理. 2023,(07).",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kOecLhPLiu5g0K1BvFVDKoNbEQm7Ieg4jcc7_A5H7Bjbt3bLseNIFs&uniplatform=NZKPT
"[论文]Sheng, Li; Yin, Yechang; Zhang, Anning;Wu, Jiwei; Yang, Ziqing：Modelling casino hospitality business cycles","This study decomposes the casino hospitality business cycles of Las Vegas and Macao into high -growth states (HGS) and low-growth states (LGS) using a Markov switching model. The casino gaming sector in Macao experiences greater fluctuations than the sector in Las Vegas due to more volatility in tourism flows; that is, Macao has a slightly higher HGS and a considerably lower LGS than Las Vegas. Las Vegas's hospitality cycle appears to be more robust than Macao's, although both hospitality cycles are desirably asymmetric. Various factors, including external business cycles and supply-side factors, affect local hospitality cycles. In terms of policy suggestions, the study's results suggest that promotional marketing must be strengthened in Las Vegas, and Macao must diversify its industrial base.",business cyclehospitality cyclecasino gaming,,10.15611/aoe.2023.1.02,ARGUMENTA OECONOMICA. 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:000996510900002
"[论文]Mi, Xue：Mapping Continuity and Change in German Strategic Culture, 1999-2022","This article investigates German foreign and security policy from 1999 to 2022 through the prism of strategic culture. In contrast with previous studies on German strategic culture, this article employs a mixed research design to examine areas showing major changes and areas of relative continuity. By using NVivo's two analytical tools (word frequency analysis and matrix coding analysis), the article conducts a computer-based content analysis of German official strategic discourses in the foreign and security realm. The findings reveal that although some of the foundational elements have been preserved and further strengthened, German strategic culture appears to have exhibited more changes since 2014, particularly in terms of the geographical scope of security concerns, perceptions of key threats and Russia. The article argues that Germany's understanding of security has shifted towards a normative dimension that places greater emphasis on values and rules, and that Germany's security concerns are no longer confined to European regional security but rather extend further afield.",FOREIGN-POLICYUKRAINE CRISIS,,10.1080/09644008.2023.2232308,GERMAN POLITICS . JUL 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001019802800001
[论文]孙宗锋 席嘉诚：数字化协同治理的类型及其逻辑——以政务服务“跨省通办”为例,数字化协同治理不仅仅是技术的简单应用，还蕴含着技术与组织的互动过程。技术赋能水平由技术调适度与组织适应度共同决定，结合政务服务“跨省通办”，构建了数字化协同治理议题下技术与组织的互构分析框架。基于技术调适度与组织适应度进行类型学分析，提出了“赋能失败”“组织牵制”“技术局限”与“互构融合”四种类型，对当前我国“跨省通办”的实践模式加以解读。研究发现，技术赋能实现数字化协同治理看似是复杂的技术问题，实则是以组织适应为核心的协同难题。数字化协同治理的关键在于组织自身结构的调整优化。,协同治理;数字政府;互构论;跨省通办;数字化协同;,山东省教育厅青创团队计划项目“数字政府转型的基础理论与实践模式”（项目号：2022RW003）； 山东省社会科学规划项目“健全共建共治共享的社会治理制度和提升社会治理效能研究”（项目号：22AWJ35）；,,"电子政务. 2023,(10)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD65TKYVWaWTfO8YW1U1mG7F3oSAbYg9kfuXPp2IoWyX0pfRYSDxTif6R&uniplatform=NZKPT
[论文]张乐 李森林：知识、理解与信任：个体对人工智能的信任机制,我国新一代人工智能发展中的不确定性让其面临着社会信任的挑战。本文的数据分析表明，知识、理解和信任之间确实存在着显著的关系，个体对不同类型知识的掌握程度的差异显著影响了其对人工智能的信任水平，自然科学知识和新技术知识发挥了“因知而信与因懂而信”的促进效应，而人文社会科学知识却没有明显地表现出“因知而疑”的反思功效；个体基于理解所形成的有关人工智能伦理合规性的主观评价则发挥了中介作用。本文为重新认识“公众理解科学”研究范式的价值、回应学界争议提供了理论佐证，也为人工智能相关政策的制定与优化提供了现实参考。,人工智能;技术信任;科技伦理;公众理解科学;科学与社会;,"国家社科基金重点项目“人工智能发展中的社会风险及适应性治理研究”（20ASH009）；?山东大学人文社科重大项目“防范化解数字化转型中的重大社会风险研究”（21RWZD18）；
",,"社会学评论. 2023,(03)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3ULGTNeQ2kWuRnIGC2o0fm0Ia0aNTcg1QDicWgydB60fP&uniplatform=NZKPT
[论文]张乐 李森林：民生风险感知如何影响捐赠行为？——基于CFPS数据的实证分析,以慈善捐赠为代表的第三次分配在推动共同富裕中的价值日益凸显，有效引导和支持人们积极参与慈善捐赠成为一个重要议题。研究发现，民生风险感知显著促进了以家庭为单位的捐赠行为，公众受教育水平能够对这种促进效应起到正向调节作用，但家庭经济水平并未发挥显著调节作用。民生风险感知对慈善捐赠的影响效应在加入工具变量的内生性讨论和替换变量度量方式的稳健性检验中依然存在。上述结论澄清了风险情境下个人与社会互构共变关系的形成过程、依存条件和发生机制的理论意涵，为推进我国第三次分配制度改革与社会福利政策调整提供了有益参考。未来可以从民生风险治理、社会责任认知、慈善文化建设和完善第三次分配制度的配套社会政策体系等多个方面发力，促进我国慈善事业积极健康发展。,民生风险感知;个人与社会;互构共变;第三次分配;慈善捐赠;,教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”（21JZD014）；,10.19836/j.cnki.37-1100/c.2023.04.007,"山东大学学报(哲学社会科学版). 2023,(04)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kUZdU7xpfjiFBOw_mcFQDPY6Thm8AfqU_yBK2Z0I3GMMvetiq7p7q4&uniplatform=NZKPT
"[论文]Sheng, EL；Zhang, AN；Yin, YC：A city profile of Macau-The rise and fall of a casino city","Macau, one of China's two special administrative regions (SARs), is an island city famous for its flourishing gambling industry. As Macau is the only place in Greater China where gambling is legal, it initially experienced explosive economic growth with the rapid expansion of its gambling sector. Although the meteoric rise of Macau's gambling industry gave the city a glamorous reputation, it also created a homogeneous and fragile industrial structure, which has begun to pose serious problems for Macau. In recent years, Macau has faced increasing political and economic pressure due to dramatic changes in the external environment. In particular, the tremendous impact of COVID-19 and Beijing's expectation of Macau's deeper involvement in China's development agenda, such as the Belt and Road Initiative and the Guangdong-Hong Kong-Macau Greater Bay Area, have made it untenable for Macau to maintain a slow pace of economic reform. This city profile examines the continuous decentralization of China's political authority since its reform and opening up and considers the unique central-local relationship between Beijing and Macau from the perspective of intergovernmental relations theory. As an exploratory case study, we focus on how Macau, a SAR with a ""high degree of autonomy"" promised and claimed by Beijing, has responded to concerns about its industrial restructuring, administrative reform, and sustainable urban development in the face of interventions from Beijing and scrutiny from residents. We argue that Macau's current form of local autonomy is insufficient, and that the Macau government should use an optimal mix of localization strategies to address the concerns of all parties while also complying with Beijing's assertive planning and guidance. We close by analyzing future economic opportunities and political challenges, extracting lessons from history, and offering practical suggestions for enhancing Macau's governance capacity, improving its tourism destination image, and hedging against major risks to the city in the rapidly changing global environment.",Macau；Gambling industry；Decentralization；Local autonomy,,10.1016/j.cities.2023.104431,CITIES，SEP 2023,https://www.webofscience.com/wos/alldb/full-record/WOS:001034376900001
[论文]王佃利 滕蕾：流域治理中的跨边界合作类型与行动逻辑——基于黄河流域协同治理的多案例分析,黄河流域治理长期处于低效协同的状态，近年来在黄河国家战略的驱动下，出现诸多突破既有管理系统边界的协同治理实践。政策政体理论关注跨边界的复杂政策问题，为研究黄河流域中的跨边界问题提供了理论指引，在此理论基础上构建类型学的分析框架，可以总结黄河流域协同治理案例蕴含的跨边界合作类型、剖析各案例的跨边界合作动因和协作过程。研究发现：在黄河流域协同治理实践中，共有三种类型的跨边界合作，包括属地管理系统主导的对接型合作、垂直管理系统主导的撬动型合作和超越水平管理系统的跨越型合作。对接型合作和撬动型合作为政治驱动下发起的，协同的范围和领域集中在某类行政事务上。而跨越型合作多是自发的，受经济和政治共同驱动，协同的范围和领域更大。,黄河国家战略;跨域治理;政策政体理论;跨边界合作;,国家社会科学基金一般项目“黄河流域生态保护与高质量发展的跨域协同治理机制研究”（22GLA00343）；,10.16637/j.cnki.23-1360/d.2023.04.004,"行政论坛. 2023,(04)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UCuMGz8-35SxTLzrRJ11T619G2yoaP0dA0RAZf9NrCNb&uniplatform=NZKPT
